Content,Label
"Date:        Wed, 21 Aug 2002 10:54:46 -0500",spam
Martin A posted:,ham
Man Threatens Explosion In Moscow,ham
Klez: The Virus That Won't Die,ham
">  in adding cream to spaghetti carbonara, which has the same effect on pasta as",spam
> I just had to jump in here as Carbonara is one of my favourites to make and,spam
The Scotsman - 22 August 2002,ham
Martin Adamson wrote:,spam
The Scotsman,ham
"Date:        Wed, 21 Aug 2002 10:54:46 -0500",spam
I have been trying to research via SA mirrors and search engines if a canned,spam
"Hello, have you seen and discussed this article and his approach?",ham
,spam
Yes - great minds think alike. But even withput eval rules it would be very,spam
"On Mon, Aug 19, 2002 at 03:08:16PM +0100, John P. Looney mentioned:",spam
--==_Exmh_-1317289252P,spam
-----BEGIN PGP SIGNATURE,ham
SpamAssassin is hurting democracy!,ham
"Hi all,",ham
"--- In forteana@y..., ""D.McMann"" <dmcmann@b...> wrote:",spam
In a nutshell - Solaris is Suns own flavour of UNIX.,ham
Apols if this has been posted before:,ham
Martin A posted:,ham
Can someone explain what type of operating system Solaris is... as ive never,ham
> Apols if this has been posted before:,spam
"On Thu, Aug 22, 2002 at 05:13:01PM +0100, Fergal Moran mentioned:",spam
John P. Looney wrote:,spam
"Hey, it's not easy being green.",spam
"> On Thu, 22 Aug 2002, John P. Looney wrote:",spam
,ham
"Folks,",ham
"On Thu, 22 Aug 2002, Joseph S. Barrera III wrote:",spam
Joseph S. Barrera III wrote:,spam
Man Threatens Explosion In Moscow,ham
"Update on this for anyone that's interested, and because I like closed",spam
Has anyone seen/heard of/used some package that would let a random person,ham
"An apparent quote from Dubya, from the Times (sent to me by my Dad):",ham
This is an automated response to a message you have sent to hauns_froehlingsdorf@infinetivity.com.,spam
Al white wrote:,spam
"Hi,",spam
Mark Twomey joked:,spam
"On Thu, Aug 22, 2002 at 10:58:34PM +0200, Robert Harley wrote:",spam
hehe sorry but if you hit caps lock twice the computer crashes?  theres one,ham
"At 17:10 22/08/2002 +0100, Nick Hilliard wrote:",spam
Klez: The Virus That Won't Die,ham
Manoj Kasichainula wrote;,spam
Lucas Gonze:,spam
"On 23 Aug 2002 at 2:57, Robert Harley wrote:",spam
< >,spam
"According to my son, it was actually Homer Simpson, who claimed the",spam
Whore eructed:,spam
I won't be reading email until Sunday night or so.  Good luck with,ham
It will function as a router if that is what you wish.,spam
">>>>> ""E"" == Eirikur Hallgrimsson <eh@mad.scientist.com> writes:",spam
"On Monday, August 26, 2002, at 09:59  AM, Tom wrote:",spam
"On Wed Aug 21 2002 at 15:46, Ulises Ponce wrote:",spam
"On 28 Aug 2002, Daniel Quinlan wrote:",spam
Is there a way to look for a particular file or directory in 100's of zip,ham
-----BEGIN PGP SIGNED MESSAGE,spam
"John P. Looney stated the following on Thu, Aug 29, 2002 at 03:31:11PM +0100 :",spam
Not true on the choice part.,spam
http://www.bbc.co.uk/radio1/alt/nireland/ni_team.shtml,ham
Gordon Rutter,ham
"All,",ham
I am wondering whether there's a way that I can use sitescooper and/or plucker,ham
Good Day!,spam
">  in adding cream to spaghetti carbonara, which has the same effect on pasta as",spam
use Perl Daily Headline Mailer,ham
======================================================================,ham
"On Thu, 2002-08-29 at 19:27, Barry Dexter A. Gonzaga wrote:",spam
(This list is sponsored by Ironclad Networks http://www.ironclad.net.au/),ham
(This list is sponsored by Ironclad Networks http://www.ironclad.net.au/),spam
_   _ _____ _  __ <*the* weekly high-tech sarcastic update for the uk>,ham
,ham
//this function should print all numbers up to 100...,ham
(This list is sponsored by Ironclad Networks http://www.ironclad.net.au/),spam
This is a multi part message in MIME format.,ham
=====================================================================,ham
Severity: Security,ham
I am trying to rebuild the recently posted ALSA driver package for my,ham
> I just had to jump in here as Carbonara is one of my favourites to make and,spam
--------------080808010909060409040405,spam
http://xent.com/mailman/listinfo/fork,ham
"On Fri, 23 Aug 2002, Robert Harley wrote:",spam
Dan Brickley wrote:,spam
me:,spam
XviD [1] is a project to make GPL divx codecs. Sigma Designs [1] is a,ham
> Russell Turpin:,spam
"On Fri, 23 Aug 2002, Tom wrote:",spam
from http://www.arstechnica.com/,ham
"On Fri, 23 Aug 2002, Tom wrote:",spam
Reza B'Far (eBuilt) wrote:,spam
The Scotsman - 22 August 2002,ham
If I have any RPMS in,ham
"On Sun, 1 Sep 2002, Reza B'Far (eBuilt) wrote:",ham
>,spam
Adam Beberg:,ham
"On Sun, Sep 01, 2002 at 04:14:17PM +0100, Paul Jakma mentioned:",spam
"On Mon, 2 Sep 2002, Russell Turpin wrote:",ham
,ham
,ham
Reza B'Far wrote:,ham
"I need to setup a VPN between a few sites. From what I've read, the the",ham
I am trying to manage the email for a domain which I have hosted with,ham
Martin Adamson wrote:,spam
"Hi All,",ham
"Hi Dermot, if have a look at one of the dists. like www.smoothwall.org, it",ham
"I think I'll ask this question again, as I sent on friday afternoon.  :-)",ham
Ray Dermody's [DERMODYR@ITCARLOW.IE] 20 lines of wisdom included:,spam
-----BEGIN PGP SIGNED MESSAGE,spam
Justin MacCarthy wrote:,spam
-----BEGIN PGP SIGNED MESSAGE,spam
"Hi All,",ham
|::::::::::::::::::::::::::::::::::::::::::::::::::|,ham
I just saw the ISOs on an internal server here and was tempted....,spam
The Scotsman,ham
"ok, so if i was in the uk for a wekk, how might i configure my laptop to",ham
"Vernon,",spam
"On September 2, kialllists@redpie.com said:",ham
> From: Paul Linehan [mailto:plinehan@yahoo.com],ham
Here's a weird and wacky problem:,ham
"On Sat, Oct 05, 2002 at 06:06:14PM +0100, Padraig Brady mentioned:",spam
John P. Looney wrote:,spam
David Neary said:,spam
Is there a way to get my read email downloaded off webmail.eircom.net.,ham
,ham
Seems fetchmail has a -a switch to get it all.,spam
--==_Exmh_1547759024P,spam
-----BEGIN PGP SIGNATURE,ham
It seems to only support PPPoA and not PPPoE. You need one that supports,spam
"On Mon, Oct 07, 2002 at 09:43:11AM +0100, Ciaran Johnston wrote:",spam
,ham
having great fun trying to find a dumb ADSL modem with Ethernet,spam
"On Sun, Oct 06, 2002 at 11:10:05PM +0100, Declan de Lacy Murphy wrote:",spam
"--- In forteana@y..., ""Webmaster"" <webmaster@b...> wrote:",spam
----- Original Message,spam
"So, I've been letting the little .exe of SETI@Home run endlessly on my PC .  Last total for this upgrade approx.",ham
http://www.washingtonpost.com/wp-dyn/articles/A46455-2002Oct5.html,ham
"Understand, not enough caffeine absorbed yet this morning. (7:00AM here for",spam
Ananova:,ham
I have been trying to research via SA mirrors and search engines if a canned,spam
> That always amazes me about 'regular' dreams - how often they come true.,spam
> Anyone know what Quaoar means or stands for? Can't find it in the,spam
">  > Ok, but you'll still let me leave that black and white one there too,",spam
> Or you could let me write one for you? Mind you ...... I know an,spam
Just the headlines and URLs so I don't bore y'all too much....,ham
Using Razor2 via SpamAssasin.,ham
,ham
Even better:,spam
"To unsubscribe from this group, send an email to:",ham
Tom R:,spam
what takes time and money: noting the amounts of each correction and basing,ham
